# ina219-sample started=2026-07-29T13:20:06+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=240.0 n_expected=2400
# note=label=no-log-diag fw=9e2e325+dirty
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3296,170,1.700,1,0
100,3296,170,1.700,1,0
200,3296,160,1.600,1,0
300,3296,190,1.900,1,0
400,3296,200,2.000,1,0
500,3296,170,1.700,1,0
600,3296,160,1.600,1,0
700,3296,160,1.600,1,0
800,3300,170,1.700,1,0
900,3296,180,1.800,1,0
1000,3292,160,1.600,1,0
1100,3292,180,1.800,1,0
1200,3292,190,1.900,1,0
1300,3292,150,1.500,1,0
1400,3296,160,1.600,1,0
1500,3292,150,1.500,1,0
1600,3292,170,1.700,1,0
1700,3296,180,1.800,1,0
1800,3296,170,1.700,1,0
1900,3296,160,1.600,1,0
2000,3296,170,1.700,1,0
2100,3296,160,1.600,1,0
2200,3296,190,1.900,1,0
2300,3296,140,1.400,1,0
2400,3292,170,1.700,1,0
2500,3300,160,1.600,1,0
2600,3292,180,1.800,1,0
2700,3292,160,1.600,1,0
2800,3292,160,1.600,1,0
2900,3292,170,1.700,1,0
3000,3292,170,1.700,1,0
3100,3296,180,1.800,1,0
3200,3296,190,1.900,1,0
3300,3296,140,1.400,1,0
3400,3296,170,1.700,1,0
3500,3296,160,1.600,1,0
3600,3296,170,1.700,1,0
3700,3296,190,1.900,1,0
3800,3292,140,1.400,1,0
3900,3296,140,1.400,1,0
4000,3296,160,1.600,1,0
4100,3296,170,1.700,1,0
4200,3296,150,1.500,1,0
4300,3292,170,1.700,1,0
4400,3292,170,1.700,1,0
4500,3296,150,1.500,1,0
4600,3296,170,1.700,1,0
4700,3296,150,1.500,1,0
4800,3296,160,1.600,1,0
4900,3296,170,1.700,1,0
5000,3292,160,1.600,1,0
5100,3296,170,1.700,1,0
5200,3292,170,1.700,1,0
5300,3292,170,1.700,1,0
5400,3292,170,1.700,1,0
5500,3288,160,1.600,1,0
5600,3292,190,1.900,1,0
5700,3292,150,1.500,1,0
5800,3296,160,1.600,1,0
5900,3300,190,1.900,1,0
6000,3296,170,1.700,1,0
6100,3296,170,1.700,1,0
6200,3292,200,2.000,1,0
6300,3296,160,1.600,1,0
6400,3300,150,1.500,1,0
6500,3296,170,1.700,1,0
6600,3296,160,1.600,1,0
6700,3296,160,1.600,1,0
6800,3292,150,1.500,1,0
6900,3292,160,1.600,1,0
7000,3296,160,1.600,1,0
7100,3292,170,1.700,1,0
7200,3292,130,1.300,1,0
7300,3296,150,1.500,1,0
7400,3296,160,1.600,1,0
7500,3292,160,1.600,1,0
7600,3296,170,1.700,1,0
7700,3300,150,1.500,1,0
7800,3296,200,2.000,1,0
7900,3300,170,1.700,1,0
8000,3300,170,1.700,1,0
8100,3300,150,1.500,1,0
8200,3296,130,1.300,1,0
8300,3296,200,2.000,1,0
8400,3296,170,1.700,1,0
8500,3296,170,1.700,1,0
8600,3296,170,1.700,1,0
8700,3292,200,2.000,1,0
8800,3296,150,1.500,1,0
8900,3296,170,1.700,1,0
9000,3296,140,1.400,1,0
9100,3296,220,2.200,1,0
9200,3296,170,1.700,1,0
9300,3300,160,1.600,1,0
9400,3296,180,1.800,1,0
9500,3296,190,1.900,1,0
9600,3296,160,1.600,1,0
9700,3300,190,1.900,1,0
9800,3296,160,1.600,1,0
9900,3296,160,1.600,1,0
10000,3176,1840,18.400,1,0
10100,3176,1840,18.400,1,0
10200,3176,1850,18.500,1,0
10300,3180,1830,18.300,1,0
10400,3176,1850,18.500,1,0
10500,3296,170,1.700,1,0
10600,3296,150,1.500,1,0
10700,3292,170,1.700,1,0
10800,3296,150,1.500,1,0
10900,3296,150,1.500,1,0
11000,3296,160,1.600,1,0
11100,3296,190,1.900,1,0
11200,3296,160,1.600,1,0
11300,3296,190,1.900,1,0
11400,3300,170,1.700,1,0
11500,3300,150,1.500,1,0
11600,3300,210,2.100,1,0
11700,3300,210,2.100,1,0
11800,3296,170,1.700,1,0
11900,3296,160,1.600,1,0
12000,3296,140,1.400,1,0
12100,3292,160,1.600,1,0
12200,3296,170,1.700,1,0
12300,3292,140,1.400,1,0
12400,3296,180,1.800,1,0
12500,3296,160,1.600,1,0
12600,3296,130,1.300,1,0
12700,3296,200,2.000,1,0
12800,3296,120,1.200,1,0
12900,3300,170,1.700,1,0
13000,3296,170,1.700,1,0
13100,3296,170,1.700,1,0
13200,3300,160,1.600,1,0
13300,3296,190,1.900,1,0
13400,3296,140,1.400,1,0
