# ina219-sample started=2026-07-30T10:34:23+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=30.0 n_expected=300
# note=label=with-events fw=8f3ca41+dirty
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3292,200,2.000,1,0
100,3292,170,1.700,1,0
200,3292,170,1.700,1,0
300,3292,200,2.000,1,0
400,3292,170,1.700,1,0
500,3292,160,1.600,1,0
600,3296,150,1.500,1,0
700,3296,190,1.900,1,0
800,3296,180,1.800,1,0
900,3296,190,1.900,1,0
1000,3296,150,1.500,1,0
1100,3292,170,1.700,1,0
1200,3292,160,1.600,1,0
1300,3288,150,1.500,1,0
1400,3292,160,1.600,1,0
1500,3292,190,1.900,1,0
1600,3292,150,1.500,1,0
1700,3292,180,1.800,1,0
1800,3296,170,1.700,1,0
1900,3292,200,2.000,1,0
2000,3292,170,1.700,1,0
2100,3292,170,1.700,1,0
2200,3292,180,1.800,1,0
2300,3292,180,1.800,1,0
2400,3296,160,1.600,1,0
2500,3296,160,1.600,1,0
2600,3296,170,1.700,1,0
2700,3296,170,1.700,1,0
2800,3296,190,1.900,1,0
2900,3292,180,1.800,1,0
3000,3288,170,1.700,1,0
3100,3292,160,1.600,1,0
3200,3292,160,1.600,1,0
3300,3292,190,1.900,1,0
3400,3296,170,1.700,1,0
3500,3296,140,1.400,1,0
3600,3296,160,1.600,1,0
3700,3296,170,1.700,1,0
3800,3296,170,1.700,1,0
3900,3292,140,1.400,1,0
4000,3272,170,1.700,1,0
4100,3292,170,1.700,1,0
4200,3292,170,1.700,1,0
4300,3292,190,1.900,1,0
4400,3292,160,1.600,1,0
4500,3296,180,1.800,1,0
4600,3292,190,1.900,1,0
4700,3288,180,1.800,1,0
4800,3292,190,1.900,1,0
4900,3292,170,1.700,1,0
5000,3292,180,1.800,1,0
5100,3296,170,1.700,1,0
5200,3296,150,1.500,1,0
5300,3296,160,1.600,1,0
5400,3296,180,1.800,1,0
5500,3296,180,1.800,1,0
5600,3292,170,1.700,1,0
5700,3288,180,1.800,1,0
5800,3288,150,1.500,1,0
5900,3292,170,1.700,1,0
6000,3292,170,1.700,1,0
6100,3296,170,1.700,1,0
6200,3292,170,1.700,1,0
6300,3292,170,1.700,1,0
6400,3292,160,1.600,1,0
6500,3292,170,1.700,1,0
6600,3288,160,1.600,1,0
6700,3292,150,1.500,1,0
6800,3288,140,1.400,1,0
6900,3292,170,1.700,1,0
7000,3292,170,1.700,1,0
7100,3296,150,1.500,1,0
7200,3296,170,1.700,1,0
7301,3292,150,1.500,1,0
7400,3292,170,1.700,1,0
7500,3296,170,1.700,1,0
7600,3296,200,2.000,1,0
7700,3296,180,1.800,1,0
7800,3292,180,1.800,1,0
7900,3288,150,1.500,1,0
8000,3296,190,1.900,1,0
8100,3292,200,2.000,1,0
8200,3292,160,1.600,1,0
8300,3292,170,1.700,1,0
8400,3292,160,1.600,1,0
8500,3292,180,1.800,1,0
8600,3296,190,1.900,1,0
8700,3292,170,1.700,1,0
8800,3292,160,1.600,1,0
8900,3292,180,1.800,1,0
9000,3292,160,1.600,1,0
9100,3292,180,1.800,1,0
9200,3296,170,1.700,1,0
9300,3292,170,1.700,1,0
9400,3296,170,1.700,1,0
9500,3296,190,1.900,1,0
9600,3292,160,1.600,1,0
9700,3292,170,1.700,1,0
9800,3292,170,1.700,1,0
9900,3292,190,1.900,1,0
10000,3292,180,1.800,1,0
10100,3296,180,1.800,1,0
10200,3292,170,1.700,1,0
10300,3296,170,1.700,1,0
10400,3296,160,1.600,1,0
10500,3296,200,2.000,1,0
10600,3292,160,1.600,1,0
10700,3296,240,2.400,1,0
10800,3292,170,1.700,1,0
10900,3292,190,1.900,1,0
11000,3292,180,1.800,1,0
11100,3292,180,1.800,1,0
11200,3292,180,1.800,1,0
11300,3296,180,1.800,1,0
11400,3296,140,1.400,1,0
11500,3292,140,1.400,1,0
11600,3292,160,1.600,1,0
11700,3292,170,1.700,1,0
11800,3292,160,1.600,1,0
11900,3292,170,1.700,1,0
12000,3292,190,1.900,1,0
12100,3296,150,1.500,1,0
12200,3292,200,2.000,1,0
12300,3296,170,1.700,1,0
12400,3292,160,1.600,1,0
12500,3288,180,1.800,1,0
12600,3292,160,1.600,1,0
12700,3292,190,1.900,1,0
12800,3292,180,1.800,1,0
12900,3296,200,2.000,1,0
13000,3292,150,1.500,1,0
13100,3292,160,1.600,1,0
13200,3292,150,1.500,1,0
13300,3292,190,1.900,1,0
13400,3292,170,1.700,1,0
13500,3292,160,1.600,1,0
13600,3292,170,1.700,1,0
13700,3292,170,1.700,1,0
13800,3292,170,1.700,1,0
13900,3296,190,1.900,1,0
14000,3292,180,1.800,1,0
14100,3292,160,1.600,1,0
14200,3292,180,1.800,1,0
14300,3292,160,1.600,1,0
14400,3292,190,1.900,1,0
14500,3288,160,1.600,1,0
14600,3292,170,1.700,1,0
14700,3296,200,2.000,1,0
14800,3296,180,1.800,1,0
14900,3296,190,1.900,1,0
15000,3292,190,1.900,1,0
15100,3296,190,1.900,1,0
15200,3292,190,1.900,1,0
15300,3292,150,1.500,1,0
15400,3292,170,1.700,1,0
15500,3288,190,1.900,1,0
15600,3292,180,1.800,1,0
15700,3292,200,2.000,1,0
15800,3292,190,1.900,1,0
15900,3296,200,2.000,1,0
16000,3292,170,1.700,1,0
16100,3292,170,1.700,1,0
16200,3288,170,1.700,1,0
16300,3292,180,1.800,1,0
16400,3292,160,1.600,1,0
16500,3292,160,1.600,1,0
16600,3292,160,1.600,1,0
16700,3296,160,1.600,1,0
16800,3296,190,1.900,1,0
16900,3296,170,1.700,1,0
17000,3288,170,1.700,1,0
17100,3292,170,1.700,1,0
17200,3292,170,1.700,1,0
17300,3292,190,1.900,1,0
17400,3292,200,2.000,1,0
17500,3292,160,1.600,1,0
17600,3292,150,1.500,1,0
17700,3296,160,1.600,1,0
17800,3296,160,1.600,1,0
17900,3292,180,1.800,1,0
18000,3292,180,1.800,1,0
18100,3292,160,1.600,1,0
18200,3292,160,1.600,1,0
18300,3292,170,1.700,1,0
18400,3292,150,1.500,1,0
18500,3296,170,1.700,1,0
18600,3292,170,1.700,1,0
18700,3296,160,1.600,1,0
18800,3296,160,1.600,1,0
18900,3296,180,1.800,1,0
19000,3292,170,1.700,1,0
19100,3292,160,1.600,1,0
19200,3288,160,1.600,1,0
19300,3288,190,1.900,1,0
19400,3288,140,1.400,1,0
19500,3296,150,1.500,1,0
19600,3296,180,1.800,1,0
19700,3292,160,1.600,1,0
19800,3292,210,2.100,1,0
19900,3292,170,1.700,1,0
20000,3292,180,1.800,1,0
20100,3292,170,1.700,1,0
20200,3292,150,1.500,1,0
20300,3292,210,2.100,1,0
20400,3292,160,1.600,1,0
20500,3296,190,1.900,1,0
20600,3296,170,1.700,1,0
20700,3292,190,1.900,1,0
20800,3296,140,1.400,1,0
20900,3292,170,1.700,1,0
21000,3292,180,1.800,1,0
21100,3292,160,1.600,1,0
21200,3292,190,1.900,1,0
21300,3292,170,1.700,1,0
21400,3296,160,1.600,1,0
21500,3292,110,1.100,1,0
21600,3296,160,1.600,1,0
21700,3292,180,1.800,1,0
21800,3292,160,1.600,1,0
21900,3292,190,1.900,1,0
22000,3288,170,1.700,1,0
22100,3292,170,1.700,1,0
22200,3292,160,1.600,1,0
22300,3292,160,1.600,1,0
22400,3296,210,2.100,1,0
22500,3296,180,1.800,1,0
22600,3296,170,1.700,1,0
22700,3296,160,1.600,1,0
22800,3292,190,1.900,1,0
22900,3292,190,1.900,1,0
23000,3292,200,2.000,1,0
23100,3288,160,1.600,1,0
23200,3288,180,1.800,1,0
23300,3296,200,2.000,1,0
23400,3296,150,1.500,1,0
23500,3296,170,1.700,1,0
23600,3292,190,1.900,1,0
23700,3292,150,1.500,1,0
23800,3288,170,1.700,1,0
23900,3292,180,1.800,1,0
24000,3292,210,2.100,1,0
24100,3296,190,1.900,1,0
24200,3292,190,1.900,1,0
24300,3292,180,1.800,1,0
24400,3292,200,2.000,1,0
24500,3296,160,1.600,1,0
24600,3296,180,1.800,1,0
24700,3292,180,1.800,1,0
24800,3292,170,1.700,1,0
24900,3292,200,2.000,1,0
25000,3292,150,1.500,1,0
25100,3292,160,1.600,1,0
25200,3292,170,1.700,1,0
25300,3296,180,1.800,1,0
25400,3296,170,1.700,1,0
25500,3296,190,1.900,1,0
25600,3296,180,1.800,1,0
25700,3292,170,1.700,1,0
25800,3292,170,1.700,1,0
25900,3292,190,1.900,1,0
26000,3292,170,1.700,1,0
26100,3292,170,1.700,1,0
26200,3292,180,1.800,1,0
26300,3296,170,1.700,1,0
26400,3296,200,2.000,1,0
26500,3296,210,2.100,1,0
26600,3292,180,1.800,1,0
26700,3292,170,1.700,1,0
26800,3288,190,1.900,1,0
26900,3292,180,1.800,1,0
27000,3288,170,1.700,1,0
27100,3292,150,1.500,1,0
27200,3296,170,1.700,1,0
27300,3296,160,1.600,1,0
27400,3296,190,1.900,1,0
27500,3296,150,1.500,1,0
27600,3292,210,2.100,1,0
27700,3292,200,2.000,1,0
27800,3288,160,1.600,1,0
27900,3288,170,1.700,1,0
28000,3288,180,1.800,1,0
28100,3292,180,1.800,1,0
28200,3292,160,1.600,1,0
28300,3296,210,2.100,1,0
28400,3296,190,1.900,1,0
28500,3292,170,1.700,1,0
28600,3292,150,1.500,1,0
28700,3292,160,1.600,1,0
28800,3288,200,2.000,1,0
28900,3292,170,1.700,1,0
29000,3288,170,1.700,1,0
29100,3292,190,1.900,1,0
29200,3296,170,1.700,1,0
29300,3296,140,1.400,1,0
29400,3296,180,1.800,1,0
29500,3292,180,1.800,1,0
29600,3292,190,1.900,1,0
29700,3292,160,1.600,1,0
29800,3292,210,2.100,1,0
29900,3292,160,1.600,1,0
30000,3292,150,1.500,1,0
# summary n=301 mean=1.731mA sd=0.164mA min=1.100mA p50=1.700mA p95=2.000mA max=2.400mA
